startLatitude,startLongitude,endLatitude,endLongitude,distance,duration,encodedPolyline
-36.843085,174.766582,-36.842687,174.765195,292,387,h|z_Fcbui`@?A??????????????A?AF?@BOF{@E\Eb@??????IF??AR??GZ?IJm@Dc@OdAAFAFKx@M~@ABB??A????KJSfA@R????
-36.854805,174.763428,-36.85026,174.755263,991,489,pe}_Fmnti`@YzA??WSi@Q]Nc@`@K|Ag@jAYL????????????s@n@w@d@}@LeAJ_ANYh@CB??????????????Yl@]hBKp@Q~@WvAYtAQj@?????@QnAUjAYxA[`BObAIf@CNc@lBYdB?D??
-36.847863,174.761642,-36.848261,174.762516,1274,1591,bz{_Fgcti`@???DA?AP?A?@ANCR?D?@GT@AA?EA?B??@?@BETAH????GTAP@C?????@?BEPGf@?@CLAD@@?A@CBILo@Pw@@C??BKAO?EBQ@E?EBKBQDOCE?@?A@A????????????BMF[?Q??@IPe@Ji@J[TI?@????????????????NFNF@??@?XSn@Yb@?RA@A?CEJg@Lu@ZQTBTTj@Bf@Nl@Hn@Vd@LXE\DKd@Ql@Kp@CPSISA??B@PHLSAm@\o@ACA@]G_@S_@Ii@MMGWOSe@AC??i@Au@E@p@b@DCIYYIIOQEM?????????A??KEYMAFC\Gr@V\????@????@FAL_@@E?C@GCQGK?AHKEI??CC?A??
-36.847195,174.774237,-36.848208,174.76297,1691,977,~u{_F_rvi`@?`@BL????ILmA`AeAbBs@dCk@lBZVz@Yx@a@n@MLLb@TVr@RJ?@??@DPr@Gl@]d@Il@LV????ZNx@Pv@Vd@\F|@`@jA`@tAXxAXvAXtAXrARtAHV??@BGt@MhAUjAWdAWdASv@S`AMx@Ol@EPQbAMt@OfAYjAG`@ET?VCF??AA??A???????????????A????A?@????????A??AC?gA_@g@S@?C??ALs@A{@@OVLjAf@h@EJo@BO????????
-36.844416,174.766899,-36.854292,174.763162,1189,333,rd{_Fcdui`@F?\FHBx@r@`Bt@j@BdBB??p@d@`AV~@PdAFd@?~B^`@n@~@d@rBIFv@fAXv@[pAz@bA\~@Jr@Pv@Xx@VlA`@fA\~@T~@ZbANz@b@z@\JD??
-36.857799,174.759228,-36.852186,174.7653,958,399,fx}_Fetsi`@?????HA@????????????k@DkAJmAHiALiAAy@iAkA}AeAwAgAyAaAsAkA_BUg@???A??e@a@kAiB}@iAq@eA{@y@k@y@[Q??????Ty@QuAT_BAe@?A??
-36.849894,174.765894,-36.851275,174.77088,873,435,xf|_Fy}ti`@@@??????B?TPp@b@r@\~@Zh@{@d@m@HC???????A????\]t@o@d@s@l@w@p@q@f@q@BE?A??\m@x@i@n@s@n@g@?q@a@a@s@g@{@k@YUq@o@_@_@w@}@Sg@???Ao@{@u@iASQ??
-36.845136,174.768307,-36.842264,174.757227,1294,487,bi{_F}lui`@BDALA^IJ?????@??UBe@^]x@]b@GT[p@wAIkAGo@XYhAMnASnA]pAWrAWrAMf@MhAQjAAz@_@t@_@pAOpAQfASvAYvA]lAQfAO~@Mj@UjAv@j@bAZ`A`@dATJjAOdAC^Qp@An@?@??
-36.850012,174.760847,-36.857096,174.759123,840,281,pg|_Fi~si`@@@????L@bA^~@Pz@Z`AXb@Tj@l@jAp@|Av@pAx@pAr@hAr@bA?rAMfAI@Ej@C|AErAYrA?~@Iv@S@A??@???
-36.847834,174.762184,-36.849597,174.755319,785,281,|y{_Fsfti`@PIABK\Th@A`@U~AWvASxADN?@?????@LlBZrBXxALnANxARtAFrAApAAFEh@\z@~@@j@Yt@In@JT~AJv@??
